rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
14,JTO/USDT,3,Weak,50,4h+,4,3,+0.45%,-0.13%,RSI_5m=67.8 RSI_1h=73.0 RSI_4h=80.3
15,KAIA/USDT,3,Weak,50,4h+,4,3,+0.99%,+0.18%,RSI_15m=62.6 RSI_1h=87.2 RSI_4h=87.5
16,ETH/USDT,2,Weak,50,4h+,1,2,+0.18%,-0.14%,RSI_1h=68.2 RSI_4h=78.0
17,BTC/USDT,2,Weak,50,4h+,1,2,-0.02%,-0.12%,RSI_1h=61.4 RSI_4h=70.2
18,XMR/USDT,2,Weak,50,15m,1,2,+2.95%,+3.13%,RSI_5m=84.2 RSI_15m=71.6
19,DOGE/USDT,2,Weak,50,4h+,1,2,+0.25%,-0.28%,RSI_1h=70.3 RSI_4h=66.8
20,AVAX/USDT,2,Weak,50,4h+,1,2,+0.18%,-0.22%,RSI_1h=63.3 RSI_4h=63.3
1,HYPE/USDT,4,Watch,66,4h+,1,4,+0.83%,+1.02%,RSI_5m=83.4 RSI_15m=72.2 RSI_1h=75.8 RSI_4h=80.6
2,SUI/USDT,4,Watch,62,4h+,1,4,+0.14%,+0.10%,RSI_5m=67.7 RSI_15m=60.8 RSI_1h=71.0 RSI_4h=78.4
3,ADA/USDT,4,Watch,45,4h+,1,4,+0.36%,+0.50%,RSI_5m=64.7 RSI_15m=64.1 RSI_1h=82.5 RSI_4h=74.5
4,BNB/USDT,4,Watch,75,4h+,1,4,+0.07%,+0.22%,RSI_5m=70.2 RSI_15m=63.3 RSI_1h=68.0 RSI_4h=70.4
5,ONDO/USDT,4,Watch,51,4h+,1,4,+0.56%,+0.53%,RSI_5m=67.4 RSI_15m=69.4 RSI_1h=65.1 RSI_4h=71.5
6,BCH/USDT,4,Watch,47,4h+,1,4,-0.07%,+0.47%,RSI_5m=67.5 RSI_15m=64.2 RSI_1h=75.2 RSI_4h=83.8
7,XLM/USDT,4,Watch,49,4h+,1,4,+0.50%,+0.50%,RSI_5m=67.5 RSI_15m=66.0 RSI_1h=81.1 RSI_4h=73.6
8,JUP/USDT,4,Watch,50,4h+,1,4,+0.36%,-0.18%,RSI_5m=63.7 RSI_15m=60.3 RSI_1h=70.7 RSI_4h=69.7
9,JTO/USDT,4,Watch,76,4h+,1,4,+0.04%,+0.58%,RSI_5m=70.3 RSI_15m=63.0 RSI_1h=73.6 RSI_4h=80.7
10,ATOM/USDT,4,Watch,52,4h+,1,4,+0.15%,+0.04%,RSI_5m=60.0 RSI_15m=60.0 RSI_1h=69.1 RSI_4h=78.6
11,SOL/USDT,3,Weak,59,4h+,1,3,+0.02%,-0.20%,RSI_5m=68.8 RSI_1h=74.0 RSI_4h=72.2
12,UNI/USDT,3,Weak,55,4h+,1,3,+0.57%,+0.79%,RSI_15m=72.8 RSI_1h=61.3 RSI_4h=83.9
13,USDC/USDT,3,Weak,50,4h+,1,3,+0.00%,+0.01%,RSI_5m=60.0 RSI_1h=71.4 RSI_4h=70.0
14,AAVE/USDT,3,Weak,37,4h+,1,3,+0.31%,+0.11%,RSI_15m=61.8 RSI_1h=65.6 RSI_4h=86.2
15,NEAR/USDT,3,Weak,52,4h+,1,3,+0.49%,+0.30%,RSI_5m=60.7 RSI_1h=63.5 RSI_4h=73.1
16,DOT/USDT,3,Weak,44,4h+,1,3,+0.05%,-0.21%,RSI_15m=61.5 RSI_1h=63.9 RSI_4h=76.4
17,TRUMP/USDT,3,Weak,49,4h+,1,3,+0.00%,-0.09%,RSI_5m=63.2 RSI_1h=67.1 RSI_4h=67.6
18,SHIB/USDT,3,Weak,55,4h+,1,3,+0.15%,-0.08%,RSI_5m=60.0 RSI_1h=67.0 RSI_4h=66.0
19,COMP/USDT,3,Weak,50,4h+,1,3,+0.63%,+0.59%,RSI_15m=61.9 RSI_1h=61.2 RSI_4h=81.7
20,USUAL/USDT,3,Weak,69,4h+,1,3,+0.09%,+0.35%,RSI_5m=60.9 RSI_1h=64.5 RSI_4h=84.5
1,HYPE/USDT,4,Watch,47,4h+,2,4,-0.08%,+1.02%,RSI_5m=83.2 RSI_15m=72.4 RSI_1h=75.8 RSI_4h=80.6
2,SUI/USDT,4,Watch,78,4h+,2,4,+0.14%,-0.18%,RSI_5m=67.3 RSI_15m=60.5 RSI_1h=70.9 RSI_4h=78.4
3,ADA/USDT,4,Watch,45,4h+,2,4,+0.40%,+0.89%,RSI_5m=67.8 RSI_15m=67.6 RSI_1h=83.4 RSI_4h=75.0
4,DOT/USDT,4,Watch,46,4h+,2,4,+0.12%,-0.02%,RSI_5m=61.2 RSI_15m=64.9 RSI_1h=65.2 RSI_4h=76.7
5,BNB/USDT,4,Watch,85,4h+,2,4,+0.09%,+0.06%,RSI_5m=70.5 RSI_15m=64.3 RSI_1h=67.8 RSI_4h=70.6
6,ONDO/USDT,4,Watch,62,4h+,2,4,+0.40%,+0.57%,RSI_5m=65.6 RSI_15m=68.4 RSI_1h=66.9 RSI_4h=71.5
7,BCH/USDT,4,Watch,53,4h+,2,4,+0.23%,+0.16%,RSI_5m=67.1 RSI_15m=65.8 RSI_1h=73.2 RSI_4h=83.8
8,XLM/USDT,4,Watch,54,4h+,2,4,+0.53%,+0.61%,RSI_5m=67.4 RSI_15m=63.5 RSI_1h=79.2 RSI_4h=73.7
9,JTO/USDT,4,Watch,78,4h+,2,4,+0.00%,+0.50%,RSI_5m=64.5 RSI_15m=64.7 RSI_1h=72.7 RSI_4h=80.2
10,ATOM/USDT,4,Watch,53,4h+,2,4,+0.41%,+0.41%,RSI_5m=61.8 RSI_15m=61.6 RSI_1h=64.7 RSI_4h=78.9
11,SOL/USDT,3,Weak,45,4h+,2,3,+0.12%,-0.14%,RSI_5m=67.4 RSI_1h=73.9 RSI_4h=72.0
12,UNI/USDT,3,Weak,67,4h+,2,3,+0.19%,+0.74%,RSI_15m=73.5 RSI_1h=61.6 RSI_4h=83.9
13,USDC/USDT,3,Weak,50,4h+,2,3,+0.01%,+0.00%,RSI_5m=60.0 RSI_1h=71.4 RSI_4h=70.0
14,AAVE/USDT,3,Weak,65,4h+,2,3,+0.25%,+0.25%,RSI_15m=63.4 RSI_1h=67.1 RSI_4h=86.3
15,NEAR/USDT,3,Weak,49,4h+,2,3,+0.42%,+0.38%,RSI_5m=61.6 RSI_1h=63.9 RSI_4h=73.2
16,TRUMP/USDT,3,Weak,51,4h+,2,3,+0.18%,+0.00%,RSI_5m=63.2 RSI_1h=67.6 RSI_4h=68.1
17,HBAR/USDT,3,Weak,89,4h+,1,3,+0.24%,+0.18%,RSI_5m=60.6 RSI_1h=60.6 RSI_4h=71.3
18,KAS/USDT,3,Weak,48,4h+,1,3,+0.07%,+0.02%,RSI_15m=61.5 RSI_1h=61.4 RSI_4h=60.9
19,OP/USDT,3,Weak,59,4h+,1,3,+0.28%,+0.56%,RSI_15m=68.4 RSI_1h=63.2 RSI_4h=84.4
20,AERO/USDT,3,Weak,49,4h+,1,3,+0.49%,+0.76%,RSI_5m=64.2 RSI_15m=60.5 RSI_4h=79.3
1,HYPE/USDT,4,Watch,81,4h+,3,4,+0.21%,+1.08%,RSI_5m=80.8 RSI_15m=73.6 RSI_1h=75.4 RSI_4h=80.6
2,ADA/USDT,4,Watch,48,4h+,3,4,+0.43%,+0.86%,RSI_5m=62.3 RSI_15m=68.0 RSI_1h=78.5 RSI_4h=74.7
3,DOT/USDT,4,Watch,47,4h+,3,4,+0.66%,+0.30%,RSI_5m=61.9 RSI_15m=67.3 RSI_1h=65.2 RSI_4h=77.1
4,ONDO/USDT,4,Watch,82,4h+,3,4,+0.51%,+0.81%,RSI_5m=64.9 RSI_15m=67.7 RSI_1h=66.7 RSI_4h=71.4
5,BCH/USDT,4,Watch,52,4h+,3,4,+0.18%,+0.20%,RSI_5m=67.5 RSI_15m=66.1 RSI_1h=73.3 RSI_4h=83.9
6,JTO/USDT,4,Watch,75,4h+,3,4,+0.09%,+0.27%,RSI_5m=66.9 RSI_15m=66.5 RSI_1h=73.1 RSI_4h=80.5
7,ATOM/USDT,4,Watch,55,4h+,3,4,+0.39%,+0.28%,RSI_5m=62.1 RSI_15m=61.1 RSI_1h=64.5 RSI_4h=78.8
8,SOL/USDT,3,Weak,47,4h+,3,3,+0.09%,-0.07%,RSI_5m=61.8 RSI_1h=71.5 RSI_4h=71.6
9,SUI/USDT,3,Weak,71,4h+,3,3,+0.33%,+0.15%,RSI_5m=65.4 RSI_1h=69.0 RSI_4h=78.4
10,AAVE/USDT,3,Weak,35,4h+,3,3,+0.74%,+0.63%,RSI_15m=60.6 RSI_1h=67.7 RSI_4h=86.4
11,BNB/USDT,3,Weak,82,4h+,3,3,+0.03%,+0.07%,RSI_5m=64.4 RSI_1h=65.9 RSI_4h=70.2
12,KAS/USDT,3,Weak,55,4h+,2,3,+0.27%,+0.08%,RSI_15m=61.2 RSI_1h=61.1 RSI_4h=60.8
13,OP/USDT,3,Weak,60,4h+,2,3,+0.84%,+0.84%,RSI_15m=70.0 RSI_1h=64.3 RSI_4h=84.7
14,ENS/USDT,3,Weak,54,4h+,1,3,+0.91%,+1.29%,RSI_15m=60.4 RSI_1h=88.4 RSI_4h=82.5
15,RUNE/USDT,3,Weak,56,4h+,1,3,+0.40%,+0.40%,RSI_5m=61.8 RSI_1h=61.5 RSI_4h=69.3
16,AERO/USDT,3,Weak,52,4h+,2,3,+0.20%,+0.56%,RSI_5m=64.2 RSI_15m=60.8 RSI_4h=79.3
17,APT/USDT,3,Weak,45,4h+,1,3,+0.65%,+0.73%,RSI_5m=64.9 RSI_1h=65.4 RSI_4h=77.9
18,FIL/USDT,3,Weak,49,4h+,1,3,+0.29%,+0.41%,RSI_5m=61.7 RSI_1h=66.9 RSI_4h=79.6
19,ETH/USDT,2,Weak,76,4h+,1,2,+0.43%,+0.45%,RSI_1h=69.8 RSI_4h=79.0
20,BTC/USDT,2,Weak,37,4h+,1,2,+0.26%,+0.23%,RSI_1h=64.7 RSI_4h=72.1
1,HYPE/USDT,4,Watch,40,4h+,4,4,+0.23%,+0.96%,RSI_5m=83.3 RSI_15m=73.6 RSI_1h=75.4 RSI_4h=80.6
2,JTO/USDT,4,Watch,77,4h+,4,4,-0.27%,-0.09%,RSI_5m=66.2 RSI_15m=65.9 RSI_1h=73.0 RSI_4h=80.4
3,BTC/USDT,3,Weak,8,4h+,2,3,+0.14%,+0.21%,RSI_5m=61.6 RSI_1h=64.5 RSI_4h=72.0
4,SUI/USDT,3,Weak,51,4h+,4,3,-0.29%,-0.12%,RSI_5m=60.4 RSI_1h=66.6 RSI_4h=78.0
5,PEPE/USDT,3,Weak,47,4h+,1,3,+0.16%,+0.47%,RSI_5m=60.5 RSI_1h=60.4 RSI_4h=65.4
6,USDC/USDT,3,Weak,50,4h+,1,3,+0.01%,+0.01%,RSI_15m=60.0 RSI_1h=66.7 RSI_4h=70.0
7,NEAR/USDT,3,Weak,52,4h+,1,3,+0.34%,+0.53%,RSI_5m=60.5 RSI_1h=61.4 RSI_4h=72.7
8,DOT/USDT,3,Weak,50,4h+,4,3,+0.37%,+0.19%,RSI_15m=64.9 RSI_1h=63.9 RSI_4h=76.7
9,BCH/USDT,3,Weak,59,4h+,4,3,-0.29%,-0.38%,RSI_5m=62.1 RSI_1h=69.2 RSI_4h=83.3
10,SYRUP/USDT,3,Weak,85,4h+,1,3,+0.49%,+0.41%,RSI_5m=60.5 RSI_15m=61.2 RSI_4h=78.1
11,OP/USDT,3,Weak,56,4h+,3,3,+0.42%,+0.14%,RSI_15m=63.2 RSI_1h=61.8 RSI_4h=84.2
12,ETH/USDT,2,Weak,6,4h+,2,2,+0.15%,+0.38%,RSI_1h=69.2 RSI_4h=78.9
13,SOL/USDT,2,Weak,40,4h+,4,2,-0.19%,-0.13%,RSI_1h=70.9 RSI_4h=71.3
14,XMR/USDT,2,Weak,50,15m,1,2,+2.95%,+3.13%,RSI_5m=84.2 RSI_15m=71.6
15,ADA/USDT,2,Weak,51,4h+,4,2,-0.24%,+0.19%,RSI_1h=71.6 RSI_4h=73.8
16,DOGE/USDT,2,Weak,47,4h+,1,2,+0.12%,+0.51%,RSI_1h=70.1 RSI_4h=67.4
17,UNI/USDT,2,Weak,45,4h+,1,2,+0.45%,+0.97%,RSI_15m=77.7 RSI_4h=84.0
18,AVAX/USDT,2,Weak,50,4h+,1,2,+0.23%,+0.54%,RSI_1h=61.3 RSI_4h=64.1
19,LINK/USDT,2,Weak,52,4h+,1,2,+0.00%,+0.39%,RSI_1h=60.2 RSI_4h=86.5
20,AAVE/USDT,2,Weak,47,4h+,4,2,+0.35%,+0.58%,RSI_1h=66.5 RSI_4h=86.3
1,HYPE/USDT,4,Watch,44,4h+,5,4,-0.22%,+0.62%,RSI_5m=75.6 RSI_15m=73.1 RSI_1h=75.2 RSI_4h=80.5
2,ICP/USDT,4,Watch,47,4h+,1,4,+0.63%,+0.30%,RSI_5m=67.1 RSI_15m=61.3 RSI_1h=72.2 RSI_4h=81.4
3,BCH/USDT,4,Watch,49,4h+,5,4,-0.11%,-0.11%,RSI_5m=70.8 RSI_15m=65.8 RSI_1h=73.2 RSI_4h=83.8
4,XLM/USDT,4,Watch,50,4h+,1,4,-0.07%,+0.46%,RSI_5m=61.0 RSI_15m=62.3 RSI_1h=78.4 RSI_4h=73.7
5,JTO/USDT,4,Watch,72,4h+,5,4,+0.63%,+0.45%,RSI_5m=68.6 RSI_15m=68.4 RSI_1h=73.5 RSI_4h=80.8
6,ADA/USDT,3,Weak,44,4h+,5,3,-0.51%,+0.11%,RSI_15m=60.6 RSI_1h=73.7 RSI_4h=74.1
7,USDC/USDT,3,Weak,51,4h+,2,3,+0.00%,-0.01%,RSI_15m=60.0 RSI_1h=66.7 RSI_4h=70.0
8,AAVE/USDT,3,Weak,41,4h+,5,3,+0.19%,+0.66%,RSI_15m=60.9 RSI_1h=67.8 RSI_4h=86.5
9,DOT/USDT,3,Weak,50,4h+,5,3,+0.05%,+0.21%,RSI_15m=65.6 RSI_1h=64.3 RSI_4h=76.8
10,ONDO/USDT,3,Weak,61,4h+,1,3,-0.28%,+0.42%,RSI_15m=65.7 RSI_1h=65.9 RSI_4h=71.3
11,KAS/USDT,3,Weak,42,4h+,1,3,+0.06%,+0.24%,RSI_15m=63.9 RSI_1h=62.3 RSI_4h=61.3
12,SYRUP/USDT,3,Weak,82,4h+,2,3,+0.53%,+1.27%,RSI_5m=63.4 RSI_15m=64.9 RSI_4h=78.6
13,OP/USDT,3,Weak,52,4h+,4,3,+0.14%,+0.14%,RSI_15m=68.4 RSI_1h=63.2 RSI_4h=84.4
14,ENS/USDT,3,Weak,55,4h+,1,3,+0.49%,+0.58%,RSI_15m=62.0 RSI_1h=88.6 RSI_4h=82.6
15,NXPC/USDT,3,Weak,81,4h+,1,3,+0.65%,+0.79%,RSI_5m=66.6 RSI_15m=60.5 RSI_4h=62.9
16,FIL/USDT,3,Weak,46,4h+,1,3,+0.26%,+0.33%,RSI_5m=61.4 RSI_1h=67.7 RSI_4h=79.7
17,KAIA/USDT,3,Weak,72,4h+,1,3,+0.73%,+0.98%,RSI_15m=60.4 RSI_1h=88.7 RSI_4h=87.8
18,ETH/USDT,2,Weak,62,4h+,3,2,-0.04%,+0.27%,RSI_1h=69.5 RSI_4h=78.9
19,BTC/USDT,2,Weak,90,4h+,3,2,+0.00%,+0.16%,RSI_1h=64.1 RSI_4h=71.7
20,SOL/USDT,2,Weak,67,4h+,5,2,-0.34%,-0.13%,RSI_1h=70.8 RSI_4h=71.3
1,HYPE/USDT,4,Watch,49,4h+,6,4,-0.01%,-0.15%,RSI_5m=74.9 RSI_15m=73.0 RSI_1h=75.1 RSI_4h=80.5
2,DOGE/USDT,4,Watch,47,4h+,1,4,+2.22%,+2.64%,RSI_5m=73.7 RSI_15m=74.7 RSI_1h=77.1 RSI_4h=70.9
3,ONDO/USDT,4,Watch,48,4h+,2,4,+0.10%,+0.55%,RSI_5m=61.4 RSI_15m=70.5 RSI_1h=67.5 RSI_4h=71.7
4,SHIB/USDT,4,Watch,51,4h+,1,4,+0.98%,+1.28%,RSI_5m=67.4 RSI_15m=69.0 RSI_1h=72.0 RSI_4h=67.9
5,BCH/USDT,4,Watch,47,4h+,6,4,-0.20%,+0.05%,RSI_5m=68.1 RSI_15m=66.4 RSI_1h=71.4 RSI_4h=83.6
6,ICP/USDT,4,Watch,46,4h+,2,4,+0.69%,+0.37%,RSI_5m=66.9 RSI_15m=61.1 RSI_1h=72.5 RSI_4h=81.5
7,XLM/USDT,4,Watch,56,4h+,2,4,-0.07%,+0.46%,RSI_5m=61.1 RSI_15m=63.5 RSI_1h=76.2 RSI_4h=73.3
8,ENS/USDT,4,Watch,56,4h+,2,4,+0.33%,+0.99%,RSI_5m=66.7 RSI_15m=61.6 RSI_1h=88.7 RSI_4h=82.6
9,JTO/USDT,4,Watch,75,4h+,6,4,+0.40%,+0.36%,RSI_5m=66.7 RSI_15m=63.1 RSI_1h=73.1 RSI_4h=80.5
10,FIL/USDT,4,Watch,47,4h+,2,4,+0.15%,+0.59%,RSI_5m=62.1 RSI_15m=63.0 RSI_1h=68.4 RSI_4h=79.8
11,SOL/USDT,3,Weak,37,4h+,6,3,+0.13%,+0.30%,RSI_5m=60.0 RSI_1h=73.0 RSI_4h=73.0
12,ADA/USDT,3,Weak,47,4h+,6,3,-0.37%,+0.07%,RSI_15m=64.5 RSI_1h=76.3 RSI_4h=74.4
13,PEPE/USDT,3,Weak,45,4h+,1,3,+0.70%,+0.94%,RSI_5m=62.7 RSI_1h=62.9 RSI_4h=66.2
14,AAVE/USDT,3,Weak,47,4h+,6,3,+0.17%,+0.51%,RSI_5m=62.2 RSI_1h=68.2 RSI_4h=86.5
15,NEAR/USDT,3,Weak,47,4h+,1,3,+0.08%,+0.72%,RSI_5m=62.1 RSI_1h=64.4 RSI_4h=73.6
16,DOT/USDT,3,Weak,47,4h+,6,3,+0.16%,+0.58%,RSI_15m=65.7 RSI_1h=66.0 RSI_4h=77.3
17,ARB/USDT,3,Weak,47,4h+,1,3,+0.10%,+0.64%,RSI_15m=64.9 RSI_1h=60.9 RSI_4h=84.6
18,KAS/USDT,3,Weak,48,4h+,2,3,+0.12%,+0.40%,RSI_15m=61.2 RSI_1h=62.1 RSI_4h=61.3
19,SYRUP/USDT,3,Weak,84,4h+,3,3,+0.53%,+1.69%,RSI_5m=60.5 RSI_15m=61.1 RSI_4h=78.6
20,OP/USDT,3,Weak,56,4h+,5,3,+0.14%,+0.84%,RSI_15m=71.4 RSI_1h=64.3 RSI_4h=84.6
1,HYPE/USDT,4,Watch,44,4h+,7,4,+0.21%,+0.37%,RSI_5m=77.0 RSI_15m=70.8 RSI_1h=75.8 RSI_4h=80.7
2,PEPE/USDT,4,Watch,46,4h+,2,4,+0.78%,+1.41%,RSI_5m=64.8 RSI_15m=63.6 RSI_1h=63.4 RSI_4h=66.3
3,DOGE/USDT,4,Watch,45,4h+,2,4,+2.83%,+3.54%,RSI_5m=76.5 RSI_15m=77.1 RSI_1h=78.3 RSI_4h=71.7
4,ONDO/USDT,4,Watch,70,4h+,3,4,+0.11%,+0.59%,RSI_5m=60.9 RSI_15m=70.0 RSI_1h=67.3 RSI_4h=71.6
5,SHIB/USDT,4,Watch,45,4h+,2,4,+1.05%,+1.36%,RSI_5m=66.7 RSI_15m=68.3 RSI_1h=71.7 RSI_4h=67.8
6,BCH/USDT,4,Watch,45,4h+,7,4,-0.34%,-0.16%,RSI_5m=63.0 RSI_15m=63.3 RSI_1h=69.9 RSI_4h=83.4
7,ICP/USDT,4,Watch,53,4h+,3,4,+0.82%,+0.88%,RSI_5m=64.8 RSI_15m=60.4 RSI_1h=72.2 RSI_4h=81.4
8,XLM/USDT,4,Watch,53,4h+,3,4,+0.07%,+0.39%,RSI_5m=61.1 RSI_15m=63.5 RSI_1h=76.2 RSI_4h=73.3
9,FIL/USDT,4,Watch,47,4h+,3,4,+0.18%,+0.48%,RSI_5m=60.0 RSI_15m=63.0 RSI_1h=68.4 RSI_4h=79.8
10,UNI/USDT,3,Weak,69,4h+,1,3,-0.32%,+0.57%,RSI_5m=60.7 RSI_15m=82.5 RSI_4h=83.9
11,NEAR/USDT,3,Weak,47,4h+,2,3,+0.26%,+1.07%,RSI_5m=63.4 RSI_1h=64.8 RSI_4h=73.7
12,DOT/USDT,3,Weak,55,4h+,7,3,+0.19%,+0.89%,RSI_15m=67.6 RSI_1h=66.8 RSI_4h=77.5
13,ARB/USDT,3,Weak,57,4h+,2,3,-0.05%,+0.74%,RSI_15m=63.5 RSI_1h=60.7 RSI_4h=84.6
14,TRUMP/USDT,3,Weak,32,4h+,1,3,+0.82%,+1.10%,RSI_5m=67.9 RSI_1h=70.5 RSI_4h=70.3
15,KAS/USDT,3,Weak,63,4h+,3,3,+0.11%,+0.38%,RSI_15m=60.6 RSI_1h=61.8 RSI_4h=61.1
16,SYRUP/USDT,3,Weak,69,4h+,4,3,+0.69%,+2.25%,RSI_5m=63.7 RSI_15m=63.4 RSI_4h=78.9
17,OP/USDT,3,Weak,55,4h+,6,3,-0.14%,+0.42%,RSI_15m=68.4 RSI_1h=63.2 RSI_4h=84.4
18,USUAL/USDT,3,Weak,72,4h+,1,3,+1.23%,+0.96%,RSI_5m=60.9 RSI_1h=66.1 RSI_4h=87.1
19,JTO/USDT,3,Weak,76,4h+,7,3,+0.45%,+0.58%,RSI_15m=65.9 RSI_1h=73.5 RSI_4h=80.8
20,ATOM/USDT,3,Weak,56,4h+,1,3,+0.02%,+0.46%,RSI_15m=63.5 RSI_1h=65.0 RSI_4h=78.9
1,HYPE/USDT,4,Watch,40,4h+,8,4,+0.06%,+0.40%,RSI_5m=78.0 RSI_15m=70.7 RSI_1h=75.8 RSI_4h=80.7
2,PEPE/USDT,4,Watch,43,4h+,3,4,+1.09%,+1.09%,RSI_5m=61.8 RSI_15m=63.6 RSI_1h=63.7 RSI_4h=66.4
3,DOGE/USDT,4,Watch,62,4h+,3,4,+2.85%,+2.95%,RSI_5m=75.8 RSI_15m=76.5 RSI_1h=78.0 RSI_4h=71.4
4,SHIB/USDT,4,Watch,50,4h+,3,4,+1.58%,+1.51%,RSI_5m=69.6 RSI_15m=71.7 RSI_1h=73.0 RSI_4h=68.4
5,BCH/USDT,4,Watch,49,4h+,8,4,+0.16%,-0.11%,RSI_5m=66.2 RSI_15m=66.1 RSI_1h=71.1 RSI_4h=83.5
6,XLM/USDT,4,Watch,58,4h+,4,4,+0.28%,+0.21%,RSI_5m=60.4 RSI_15m=64.2 RSI_1h=76.9 RSI_4h=73.4
7,ICP/USDT,4,Watch,52,4h+,4,4,+1.27%,+1.25%,RSI_5m=70.2 RSI_15m=62.8 RSI_1h=73.3 RSI_4h=81.8
8,SYRUP/USDT,4,Watch,69,4h+,5,4,+1.65%,+2.24%,RSI_5m=70.9 RSI_15m=66.6 RSI_1h=60.9 RSI_4h=79.3
9,FIL/USDT,4,Watch,48,4h+,4,4,+0.48%,+0.48%,RSI_5m=60.7 RSI_15m=63.6 RSI_1h=68.6 RSI_4h=79.9
10,SOL/USDT,3,Weak,37,4h+,1,3,+0.79%,+0.55%,RSI_5m=61.7 RSI_1h=73.7 RSI_4h=74.0
11,AVAX/USDT,3,Weak,49,4h+,1,3,+0.81%,+0.95%,RSI_5m=60.3 RSI_1h=65.1 RSI_4h=65.7
12,USDC/USDT,3,Weak,43,4h+,1,3,+0.00%,+0.01%,RSI_5m=60.0 RSI_1h=66.7 RSI_4h=70.0
13,NEAR/USDT,3,Weak,48,4h+,3,3,+0.49%,+0.87%,RSI_5m=62.4 RSI_1h=64.8 RSI_4h=73.7
14,DOT/USDT,3,Weak,46,4h+,8,3,+0.61%,+0.91%,RSI_15m=69.4 RSI_1h=67.7 RSI_4h=77.8
15,TRUMP/USDT,3,Weak,32,4h+,2,3,+1.10%,+1.01%,RSI_5m=69.0 RSI_1h=70.9 RSI_4h=70.5
16,ARB/USDT,3,Weak,52,4h+,3,3,+0.44%,+0.84%,RSI_15m=66.7 RSI_1h=61.6 RSI_4h=84.7
17,ONDO/USDT,3,Weak,56,4h+,4,3,+0.76%,+0.50%,RSI_15m=71.3 RSI_1h=67.9 RSI_4h=71.9
18,KAS/USDT,3,Weak,52,4h+,4,3,+0.55%,+0.16%,RSI_15m=62.4 RSI_1h=62.6 RSI_4h=61.4
19,OP/USDT,3,Weak,53,4h+,7,3,+0.14%,+0.56%,RSI_15m=65.0 RSI_1h=62.7 RSI_4h=84.3
20,USUAL/USDT,3,Weak,74,4h+,2,3,+1.14%,+1.23%,RSI_5m=60.9 RSI_1h=66.1 RSI_4h=87.1
1,HYPE/USDT,4,Watch,48,4h+,9,4,-0.16%,-0.33%,RSI_5m=76.0 RSI_15m=66.8 RSI_1h=74.5 RSI_4h=80.4
2,PEPE/USDT,4,Watch,47,4h+,4,4,+0.47%,+0.47%,RSI_5m=66.7 RSI_15m=61.5 RSI_1h=62.9 RSI_4h=66.2
3,DOGE/USDT,4,Watch,46,4h+,4,4,+1.12%,+2.22%,RSI_5m=72.6 RSI_15m=74.7 RSI_1h=77.2 RSI_4h=71.0
4,DOT/USDT,4,Watch,52,4h+,9,4,+0.40%,+0.49%,RSI_5m=64.1 RSI_15m=68.9 RSI_1h=67.4 RSI_4h=77.7
5,ONDO/USDT,4,Watch,76,4h+,5,4,+0.07%,-0.21%,RSI_5m=62.9 RSI_15m=67.6 RSI_1h=66.4 RSI_4h=71.4
6,SHIB/USDT,4,Watch,49,4h+,4,4,+0.37%,+0.75%,RSI_5m=64.6 RSI_15m=65.8 RSI_1h=70.9 RSI_4h=67.4
7,XLM/USDT,4,Watch,57,4h+,5,4,-0.07%,-0.28%,RSI_5m=60.0 RSI_15m=61.1 RSI_1h=74.8 RSI_4h=73.1
8,BCH/USDT,4,Watch,48,4h+,9,4,-0.16%,-0.34%,RSI_5m=62.7 RSI_15m=65.5 RSI_1h=70.9 RSI_4h=83.5
9,ICP/USDT,4,Watch,53,4h+,5,4,+0.53%,+1.07%,RSI_5m=70.3 RSI_15m=63.3 RSI_1h=73.5 RSI_4h=81.9
10,SYRUP/USDT,4,Watch,80,4h+,6,4,+0.69%,+1.33%,RSI_5m=69.7 RSI_15m=65.6 RSI_1h=60.4 RSI_4h=79.2
11,SOL/USDT,3,Weak,48,4h+,2,3,+0.49%,+0.28%,RSI_5m=61.0 RSI_1h=73.5 RSI_4h=73.8
12,ADA/USDT,3,Weak,48,4h+,1,3,+0.03%,-0.30%,RSI_5m=60.5 RSI_1h=75.9 RSI_4h=74.4
13,UNI/USDT,3,Weak,61,4h+,1,3,-0.66%,-0.56%,RSI_5m=60.6 RSI_15m=74.8 RSI_4h=83.8
14,AVAX/USDT,3,Weak,50,4h+,2,3,+0.36%,+0.58%,RSI_5m=62.5 RSI_1h=64.9 RSI_4h=65.6
15,LINK/USDT,3,Weak,56,4h+,1,3,+0.07%,+0.07%,RSI_5m=61.0 RSI_1h=63.9 RSI_4h=86.9
16,AAVE/USDT,3,Weak,46,4h+,1,3,-0.04%,+0.19%,RSI_5m=67.6 RSI_1h=67.8 RSI_4h=86.5
17,NEAR/USDT,3,Weak,49,4h+,4,3,+0.08%,+0.15%,RSI_5m=63.0 RSI_1h=64.1 RSI_4h=73.5
18,ENA/USDT,3,Weak,54,4h+,1,3,+0.47%,+0.36%,RSI_5m=61.4 RSI_1h=60.0 RSI_4h=67.9
19,TRUMP/USDT,3,Weak,31,4h+,3,3,+0.82%,+0.73%,RSI_5m=76.9 RSI_1h=70.9 RSI_4h=70.5
20,ARB/USDT,3,Weak,53,4h+,4,3,+0.05%,+0.34%,RSI_15m=64.2 RSI_1h=60.8 RSI_4h=84.6
