rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
10,PEPE/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
11,AVAX/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
12,AAVE/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
13,LINK/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
14,PRO/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
15,TRX/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
16,ZBCN/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
17,TIA/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
18,ARB/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
19,BNB/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
20,WAXL/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
1,KAS/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
2,HUMA/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
3,VRA/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
4,EIGEN/USDT,4,Watch,50,4h+,2,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
5,DOGE/USDT,3,Weak,50,1h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
6,AVAX/USDT,3,Weak,50,1h+,2,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
7,BNB/USDT,3,Weak,50,4h+,2,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
8,ONDO/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
